                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6451,                0.78333,                      1,                 1.6367,             0.00023139,             0.00023139,             0.00023139
                      2,                0.84886,                0.86667,                      1,                 1.2373,              0.0004539,              0.0004539,              0.0004539
                      3,                0.31138,                0.83333,                      1,                 1.2163,              0.0006607,              0.0006607,              0.0006607
                      4,                0.19774,                0.86667,                      1,                 1.1714,             0.00064331,             0.00064331,             0.00064331
                      5,                0.13378,                0.88333,                      1,                 1.1836,             0.00064331,             0.00064331,             0.00064331
                      6,                0.11735,                0.93333,                      1,                 1.1245,             0.00061975,             0.00061975,             0.00061975
                      7,                0.08992,                    0.9,                      1,                 1.1548,             0.00059619,             0.00059619,             0.00059619
                      8,                0.08012,                0.86667,                      1,                 1.1782,             0.00057263,             0.00057263,             0.00057263
                      9,                0.07293,                   0.95,                      1,                 1.1304,             0.00054907,             0.00054907,             0.00054907
                     10,                0.08655,                    0.9,                      1,                 1.1157,              0.0005255,              0.0005255,              0.0005255
                     11,                 0.0589,                    0.9,                      1,                 1.1318,             0.00050194,             0.00050194,             0.00050194
                     12,                0.07915,                0.91667,                      1,                 1.1147,             0.00047838,             0.00047838,             0.00047838
                     13,                0.03446,                0.93333,                      1,                 1.1216,             0.00045482,             0.00045482,             0.00045482
                     14,                0.06249,                0.93333,                      1,                  1.106,             0.00043126,             0.00043126,             0.00043126
                     15,                0.05826,                0.93333,                      1,                 1.1025,             0.00040769,             0.00040769,             0.00040769
                     16,                0.06306,                   0.95,                      1,                 1.0957,             0.00038413,             0.00038413,             0.00038413
                     17,                 0.0383,                   0.95,                      1,                  1.102,             0.00036057,             0.00036057,             0.00036057
                     18,                0.04296,                   0.95,                      1,                 1.1069,             0.00033701,             0.00033701,             0.00033701
                     19,                0.02296,                   0.95,                      1,                 1.1157,             0.00031345,             0.00031345,             0.00031345
                     20,                0.03854,                   0.95,                      1,                 1.1172,             0.00028988,             0.00028988,             0.00028988
                     21,                0.03154,                0.91667,                      1,                 1.1123,             0.00026632,             0.00026632,             0.00026632
                     22,                0.02738,                0.93333,                      1,                 1.0991,             0.00024276,             0.00024276,             0.00024276
                     23,                  0.016,                0.96667,                      1,                 1.0952,              0.0002192,              0.0002192,              0.0002192
                     24,                0.01602,                0.96667,                      1,                 1.1001,             0.00019564,             0.00019564,             0.00019564
                     25,                0.02122,                   0.95,                      1,                 1.1025,             0.00017207,             0.00017207,             0.00017207
                     26,                0.02968,                   0.95,                      1,                 1.0938,             0.00014851,             0.00014851,             0.00014851
                     27,                0.01969,                   0.95,                      1,                 1.0996,             0.00012495,             0.00012495,             0.00012495
                     28,                0.02372,                   0.95,                      1,                 1.0894,             0.00010139,             0.00010139,             0.00010139
                     29,                0.02287,                   0.95,                      1,                 1.1074,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.02738,                   0.95,                      1,                 1.0957,             5.4264e-05,             5.4264e-05,             5.4264e-05
